,Province_State,Date,Confirmed,Deaths
4410,Nebraska,2020-01-30,0,0
2422,Illinois,2020-01-30,1,0
150,Alaska,2020-01-30,0,0
6114,Pennsylvania,2020-01-30,0,0
2990,Kentucky,2020-01-30,0,0
6398,Rhode Island,2020-01-30,0,0
4268,Montana,2020-01-30,0,0
2706,Iowa,2020-01-30,0,0
6256,Puerto Rico,2020-01-30,0,0
2848,Kansas,2020-01-30,0,0
6682,South Dakota,2020-01-30,0,0
4694,New Hampshire,2020-01-30,0,0
2138,Hawaii,2020-01-30,0,0
4126,Missouri,2020-01-30,0,0
1286,Diamond Princess,2020-01-30,0,0
7250,Vermont,2020-01-30,0,0
3558,Massachusetts,2020-01-30,0,0
1428,District of Columbia,2020-01-30,0,0
1570,Florida,2020-01-30,0,0
7108,Utah,2020-01-30,0,0
5830,Oklahoma,2020-01-30,0,0
3416,Maryland,2020-01-30,0,0
6966,Texas,2020-01-30,0,0
4978,New Mexico,2020-01-30,0,0
4552,Nevada,2020-01-30,0,0
1854,Grand Princess,2020-01-30,0,0
3274,Maine,2020-01-30,0,0
1996,Guam,2020-01-30,0,0
6824,Tennessee,2020-01-30,0,0
5262,North Carolina,2020-01-30,0,0
2564,Indiana,2020-01-30,0,0
4836,New Jersey,2020-01-30,0,0
7960,Wisconsin,2020-01-30,0,0
292,American Samoa,2020-01-30,0,0
434,Arizona,2020-01-30,1,0
2423,Illinois,2020-01-31,2,0
3843,Minnesota,2020-01-31,0,0
6825,Tennessee,2020-01-31,0,0
293,American Samoa,2020-01-31,0,0
1003,Connecticut,2020-01-31,0,0
4127,Missouri,2020-01-31,0,0
8103,Wyoming,2020-01-31,0,0
7535,Virginia,2020-01-31,0,0
2991,Kentucky,2020-01-31,0,0
6683,South Dakota,2020-01-31,0,0
3275,Maine,2020-01-31,0,0
5263,North Carolina,2020-01-31,0,0
3133,Louisiana,2020-01-31,0,0
4837,New Jersey,2020-01-31,0,0
4411,Nebraska,2020-01-31,0,0
577,Arkansas,2020-01-31,0,0
3417,Maryland,2020-01-31,0,0
151,Alaska,2020-01-31,0,0
7251,Vermont,2020-01-31,0,0
1145,Delaware,2020-01-31,0,0
6541,South Carolina,2020-01-31,0,0
435,Arizona,2020-01-31,1,0
2139,Hawaii,2020-01-31,0,0
6967,Texas,2020-01-31,0,0
719,California,2020-01-31,3,0
6115,Pennsylvania,2020-01-31,0,0
4553,Nevada,2020-01-31,0,0
7393,Virgin Islands,2020-01-31,0,0
1287,Diamond Princess,2020-01-31,0,0
2281,Idaho,2020-01-31,0,0
1429,District of Columbia,2020-01-31,0,0
7961,Wisconsin,2020-01-31,0,0
5405,North Dakota,2020-01-31,0,0
1571,Florida,2020-01-31,0,0
2707,Iowa,2020-01-31,0,0
7109,Utah,2020-01-31,0,0
861,Colorado,2020-01-31,0,0
5973,Oregon,2020-01-31,0,0
9,Alabama,2020-01-31,0,0
3985,Mississippi,2020-01-31,0,0
4269,Montana,2020-01-31,0,0
4695,New Hampshire,2020-01-31,0,0
1713,Georgia,2020-01-31,0,0
6257,Puerto Rico,2020-01-31,0,0
2849,Kansas,2020-01-31,0,0
7677,Washington,2020-01-31,1,0
5547,Northern Mariana Islands,2020-01-31,0,0
1855,Grand Princess,2020-01-31,0,0
7819,West Virginia,2020-01-31,0,0
3701,Michigan,2020-01-31,0,0
5121,New York,2020-01-31,0,0
5689,Ohio,2020-01-31,0,0
4979,New Mexico,2020-01-31,0,0
2565,Indiana,2020-01-31,0,0
1997,Guam,2020-01-31,0,0
5831,Oklahoma,2020-01-31,0,0
6399,Rhode Island,2020-01-31,0,0
3559,Massachusetts,2020-01-31,0,0
5122,New York,2020-02-01,0,0
5264,North Carolina,2020-02-01,0,0
720,California,2020-02-01,3,0
6116,Pennsylvania,2020-02-01,0,0
5548,Northern Mariana Islands,2020-02-01,0,0
1572,Florida,2020-02-01,0,0
7110,Utah,2020-02-01,0,0
1714,Georgia,2020-02-01,0,0
2140,Hawaii,2020-02-01,0,0
1430,District of Columbia,2020-02-01,0,0
436,Arizona,2020-02-01,1,0
7252,Vermont,2020-02-01,0,0
7820,West Virginia,2020-02-01,0,0
1998,Guam,2020-02-01,0,0
5974,Oregon,2020-02-01,0,0
4838,New Jersey,2020-02-01,0,0
3134,Louisiana,2020-02-01,0,0
4412,Nebraska,2020-02-01,0,0
4270,Montana,2020-02-01,0,0
6826,Tennessee,2020-02-01,0,0
3560,Massachusetts,2020-02-01,1,0
3276,Maine,2020-02-01,0,0
3844,Minnesota,2020-02-01,0,0
1856,Grand Princess,2020-02-01,0,0
5406,North Dakota,2020-02-01,0,0
1004,Connecticut,2020-02-01,0,0
8104,Wyoming,2020-02-01,0,0
2992,Kentucky,2020-02-01,0,0
1288,Diamond Princess,2020-02-01,0,0
7536,Virginia,2020-02-01,0,0
7962,Wisconsin,2020-02-01,0,0
4980,New Mexico,2020-02-01,0,0
2566,Indiana,2020-02-01,0,0
5690,Ohio,2020-02-01,0,0
3702,Michigan,2020-02-01,0,0
6400,Rhode Island,2020-02-01,0,0
2708,Iowa,2020-02-01,0,0
862,Colorado,2020-02-01,0,0
10,Alabama,2020-02-01,0,0
3986,Mississippi,2020-02-01,0,0
4696,New Hampshire,2020-02-01,0,0
6258,Puerto Rico,2020-02-01,0,0
2850,Kansas,2020-02-01,0,0
7678,Washington,2020-02-01,1,0
2424,Illinois,2020-02-01,2,0
